appointment_id,date,scheduled_time,carrier_id,carrier_name,dock_door,destination_zone,shipment_size,pallet_count,expected_duration_mins,po_number,priority
APT-000024,2026-02-02,2026-02-02 11:15,CAR-004,Delta Haulers,4,C,large,34,69,PO-464400,expedited
APT-000025,2026-02-02,2026-02-02 14:45,CAR-015,Omega Transport,8,A,small,8,31,PO-340214,standard
APT-000026,2026-02-02,2026-02-02 13:15,CAR-026,Zenith Transit,4,D,small,10,35,PO-765669,standard
APT-000027,2026-02-02,2026-02-02 07:30,CAR-010,Juno Carriers,3,A,small,8,23,PO-455955,standard
APT-000028,2026-02-03,2026-02-03 06:45,CAR-005,Eastern Express,3,A,medium,26,65,PO-864000,hot
APT-000029,2026-02-03,2026-02-03 10:15,CAR-021,UnionLine Co,5,D,small,8,30,PO-647241,hot
APT-000030,2026-02-03,2026-02-03 13:00,CAR-001,Apex Freight,4,B,small,2,27,PO-243158,standard
APT-000031,2026-02-03,2026-02-03 09:30,CAR-017,Quantum Freight,3,C,small,3,34,PO-506927,standard
APT-000032,2026-02-03,2026-02-03 17:30,CAR-020,Titan Transport,9,D,medium,16,57,PO-877345,expedited
APT-000033,2026-02-03,2026-02-03 08:00,CAR-022,Vanguard Carriers,9,B,small,2,34,PO-985809,standard
APT-000034,2026-02-03,2026-02-03 07:30,CAR-006,Freightliner Prime,3,B,large,35,95,PO-463049,expedited
APT-000035,2026-02-03,2026-02-03 08:45,CAR-007,Global Supply Inc,6,A,large,31,64,PO-468395,expedited
APT-000036,2026-02-03,2026-02-03 15:15,CAR-002,Blue Ridge Logistics,10,B,medium,25,64,PO-265806,expedited
APT-000037,2026-02-03,2026-02-03 08:30,CAR-007,Global Supply Inc,7,C,medium,14,43,PO-140257,expedited
APT-000038,2026-02-03,2026-02-03 10:30,CAR-007,Global Supply Inc,1,C,small,2,22,PO-169334,standard
APT-000039,2026-02-03,2026-02-03 11:00,CAR-003,Coastal Transit Co,1,A,small,8,22,PO-667458,expedited
APT-000040,2026-02-03,2026-02-03 08:30,CAR-021,UnionLine Co,3,A,medium,21,60,PO-732632,expedited
APT-000041,2026-02-03,2026-02-03 08:15,CAR-006,Freightliner Prime,9,B,large,29,70,PO-443424,expedited
APT-000042,2026-02-03,2026-02-03 19:15,CAR-010,Juno Carriers,8,B,large,40,60,PO-853353,standard
APT-000043,2026-02-03,2026-02-03 16:30,CAR-006,Freightliner Prime,7,A,small,1,32,PO-394902,standard
APT-000044,2026-02-03,2026-02-03 12:45,CAR-016,Pacific Haul,1,D,small,6,30,PO-790694,standard
APT-000045,2026-02-03,2026-02-03 20:00,CAR-027,Atlas Logistics,2,B,small,9,34,PO-134089,standard
APT-000046,2026-02-03,2026-02-03 14:30,CAR-015,Omega Transport,8,A,small,3,22,PO-149747,expedited
APT-000047,2026-02-03,2026-02-03 07:45,CAR-030,Drift Logistics,10,B,small,9,32,PO-853924,standard
APT-000048,2026-02-03,2026-02-03 12:00,CAR-026,Zenith Transit,10,A,large,40,71,PO-606843,standard
APT-000049,2026-02-03,2026-02-03 10:45,CAR-007,Global Supply Inc,9,B,large,47,76,PO-548895,expedited
APT-000050,2026-02-03,2026-02-03 19:45,CAR-003,Coastal Transit Co,10,A,small,7,34,PO-789040,hot
APT-000051,2026-02-03,2026-02-03 07:45,CAR-018,Ridgeline Shipping,7,B,large,48,72,PO-842642,hot
APT-000052,2026-02-03,2026-02-03 14:15,CAR-029,Crest Transport,3,B,medium,26,43,PO-672446,standard
APT-000053,2026-02-03,2026-02-03 16:30,CAR-002,Blue Ridge Logistics,5,C,small,9,20,PO-197997,expedited
APT-000054,2026-02-03,2026-02-03 09:15,CAR-020,Titan Transport,8,D,small,2,23,PO-487523,standard
APT-000055,2026-02-04,2026-02-04 13:30,CAR-029,Crest Transport,9,A,small,8,34,PO-119750,hot
APT-000056,2026-02-04,2026-02-04 11:00,CAR-009,Ironside Shipping,5,A,large,30,59,PO-723802,expedited
APT-000057,2026-02-04,2026-02-04 13:15,CAR-010,Juno Carriers,5,B,small,7,21,PO-108575,standard
APT-000058,2026-02-04,2026-02-04 11:00,CAR-015,Omega Transport,8,A,medium,18,50,PO-173213,hot
APT-000059,2026-02-04,2026-02-04 13:00,CAR-011,Keystone Transit,10,D,small,9,31,PO-168331,expedited
APT-000060,2026-02-04,2026-02-04 11:30,CAR-004,Delta Haulers,9,C,small,9,30,PO-810964,standard
APT-000061,2026-02-04,2026-02-04 08:15,CAR-026,Zenith Transit,8,D,medium,25,64,PO-969334,standard
APT-000062,2026-02-04,2026-02-04 12:30,CAR-030,Drift Logistics,10,A,large,47,95,PO-753476,expedited
APT-000063,2026-02-04,2026-02-04 09:00,CAR-013,Meridian Movers,1,B,medium,21,38,PO-764885,expedited
APT-000064,2026-02-04,2026-02-04 06:00,CAR-017,Quantum Freight,8,D,medium,22,57,PO-332679,standard
APT-000065,2026-02-04,2026-02-04 07:00,CAR-005,Eastern Express,6,C,large,35,97,PO-887924,expedited
APT-000066,2026-02-04,2026-02-04 10:30,CAR-012,Lodestar Freight,7,D,large,51,68,PO-307683,standard
APT-000067,2026-02-04,2026-02-04 11:30,CAR-025,Yukon Haulers,6,A,large,27,56,PO-627585,expedited
APT-000068,2026-02-04,2026-02-04 12:45,CAR-004,Delta Haulers,10,D,small,7,37,PO-197532,expedited
APT-000069,2026-02-04,2026-02-04 12:00,CAR-019,Summit Logistics,4,B,small,4,21,PO-294207,standard
APT-000070,2026-02-04,2026-02-04 09:00,CAR-002,Blue Ridge Logistics,4,A,large,32,80,PO-487860,hot
APT-000071,2026-02-04,2026-02-04 11:30,CAR-007,Global Supply Inc,2,A,medium,26,63,PO-462573,standard
APT-000072,2026-02-04,2026-02-04 11:30,CAR-020,Titan Transport,4,A,large,40,96,PO-826202,standard
APT-000073,2026-02-04,2026-02-04 11:00,CAR-012,Lodestar Freight,1,A,medium,12,59,PO-834136,standard
APT-000074,2026-02-04,2026-02-04 07:00,CAR-027,Atlas Logistics,10,B,small,8,24,PO-228882,standard
APT-000075,2026-02-04,2026-02-04 09:45,CAR-002,Blue Ridge Logistics,2,B,small,8,27,PO-642918,standard
APT-000076,2026-02-04,2026-02-04 12:00,CAR-027,Atlas Logistics,10,C,medium,26,51,PO-384759,standard
APT-000077,2026-02-04,2026-02-04 15:30,CAR-017,Quantum Freight,3,D,large,46,63,PO-586251,expedited
APT-000078,2026-02-04,2026-02-04 08:15,CAR-027,Atlas Logistics,5,B,small,5,28,PO-805485,standard
APT-000079,2026-02-04,2026-02-04 13:00,CAR-002,Blue Ridge Logistics,5,A,small,3,27,PO-839561,standard
APT-000080,2026-02-04,2026-02-04 20:30,CAR-009,Ironside Shipping,5,A,medium,12,46,PO-653864,standard
APT-000081,2026-02-04,2026-02-04 17:30,CAR-012,Lodestar Freight,7,C,small,6,39,PO-218014,expedited
APT-000082,2026-02-04,2026-02-04 11:30,CAR-024,Xenith Shipping,10,B,small,1,31,PO-943047,standard
APT-000083,2026-02-04,2026-02-04 10:30,CAR-019,Summit Logistics,6,B,medium,19,50,PO-353059,standard
APT-000084,2026-02-04,2026-02-04 09:00,CAR-030,Drift Logistics,5,C,large,31,70,PO-707666,standard
APT-000085,2026-02-05,2026-02-05 11:45,CAR-022,Vanguard Carriers,6,B,small,4,27,PO-939054,standard
APT-000086,2026-02-05,2026-02-05 16:00,CAR-001,Apex Freight,6,C,medium,17,42,PO-138194,standard
APT-000087,2026-02-05,2026-02-05 15:15,CAR-010,Juno Carriers,5,A,medium,19,45,PO-249228,standard
APT-000088,2026-02-05,2026-02-05 10:00,CAR-011,Keystone Transit,6,A,small,6,34,PO-891711,standard
APT-000089,2026-02-05,2026-02-05 12:30,CAR-029,Crest Transport,7,D,medium,22,51,PO-108695,standard
APT-000090,2026-02-05,2026-02-05 11:30,CAR-003,Coastal Transit Co,9,A,medium,20,57,PO-130203,standard
APT-000091,2026-02-05,2026-02-05 12:45,CAR-016,Pacific Haul,10,D,small,3,21,PO-558448,hot
APT-000092,2026-02-05,2026-02-05 14:30,CAR-020,Titan Transport,9,A,medium,20,41,PO-246990,standard
APT-000093,2026-02-05,2026-02-05 12:15,CAR-007,Global Supply Inc,2,A,large,51,81,PO-903161,hot
APT-000094,2026-02-05,2026-02-05 21:15,CAR-018,Ridgeline Shipping,2,D,small,9,25,PO-672613,standard
APT-000095,2026-02-05,2026-02-05 13:45,CAR-023,Western Freight,5,B,small,1,35,PO-807731,hot
APT-000096,2026-02-05,2026-02-05 12:30,CAR-019,Summit Logistics,7,C,large,47,81,PO-510599,hot
APT-000097,2026-02-05,2026-02-05 19:45,CAR-018,Ridgeline Shipping,10,A,medium,14,40,PO-342486,standard
APT-000098,2026-02-05,2026-02-05 20:15,CAR-004,Delta Haulers,10,A,small,3,25,PO-761644,standard
APT-000099,2026-02-05,2026-02-05 07:15,CAR-005,Eastern Express,2,D,medium,13,59,PO-643985,standard
APT-000100,2026-02-05,2026-02-05 15:15,CAR-022,Vanguard Carriers,5,A,large,33,68,PO-776349,standard
APT-000101,2026-02-05,2026-02-05 15:00,CAR-026,Zenith Transit,8,D,medium,13,48,PO-392006,standard
APT-000102,2026-02-05,2026-02-05 11:45,CAR-012,Lodestar Freight,4,C,medium,11,41,PO-182139,expedited
APT-000103,2026-02-05,2026-02-05 10:30,CAR-003,Coastal Transit Co,4,B,small,1,24,PO-902301,standard
APT-000104,2026-02-05,2026-02-05 15:00,CAR-011,Keystone Transit,7,A,medium,16,54,PO-395333,standard
APT-000105,2026-02-05,2026-02-05 09:00,CAR-025,Yukon Haulers,2,A,medium,16,56,PO-575807,standard
APT-000106,2026-02-05,2026-02-05 14:30,CAR-008,Horizon Logistics,7,C,medium,24,57,PO-872666,standard
APT-000107,2026-02-05,2026-02-05 07:45,CAR-026,Zenith Transit,8,C,large,41,91,PO-870094,standard
APT-000108,2026-02-05,2026-02-05 07:30,CAR-012,Lodestar Freight,5,A,small,4,32,PO-685705,standard
APT-000109,2026-02-06,2026-02-06 09:30,CAR-022,Vanguard Carriers,7,C,large,46,89,PO-594840,standard
APT-000110,2026-02-06,2026-02-06 17:15,CAR-007,Global Supply Inc,6,B,medium,13,52,PO-537925,standard
APT-000111,2026-02-06,2026-02-06 08:00,CAR-029,Crest Transport,1,B,large,42,74,PO-599159,hot
APT-000112,2026-02-06,2026-02-06 10:15,CAR-018,Ridgeline Shipping,3,A,medium,20,35,PO-485667,hot
APT-000113,2026-02-06,2026-02-06 13:45,CAR-016,Pacific Haul,4,B,medium,12,45,PO-867456,standard
APT-000114,2026-02-06,2026-02-06 08:45,CAR-016,Pacific Haul,5,B,small,10,28,PO-175474,expedited
APT-000115,2026-02-06,2026-02-06 09:30,CAR-004,Delta Haulers,5,C,large,32,100,PO-744937,expedited
APT-000116,2026-02-06,2026-02-06 08:15,CAR-023,Western Freight,8,A,medium,11,56,PO-213610,standard
APT-000117,2026-02-06,2026-02-06 12:15,CAR-016,Pacific Haul,5,C,medium,20,49,PO-840762,standard
APT-000118,2026-02-06,2026-02-06 11:45,CAR-015,Omega Transport,3,B,large,41,87,PO-531782,standard
APT-000119,2026-02-06,2026-02-06 10:15,CAR-010,Juno Carriers,6,D,large,50,100,PO-648180,standard
APT-000120,2026-02-06,2026-02-06 17:45,CAR-015,Omega Transport,7,B,small,3,38,PO-891375,expedited
APT-000121,2026-02-06,2026-02-06 11:00,CAR-007,Global Supply Inc,5,A,large,52,61,PO-973474,standard
APT-000122,2026-02-06,2026-02-06 21:45,CAR-020,Titan Transport,8,B,medium,12,39,PO-258271,standard
APT-000123,2026-02-06,2026-02-06 09:30,CAR-004,Delta Haulers,9,B,large,45,70,PO-275004,standard
APT-000124,2026-02-06,2026-02-06 11:45,CAR-017,Quantum Freight,10,D,large,47,90,PO-895175,expedited
APT-000125,2026-02-06,2026-02-06 14:30,CAR-010,Juno Carriers,9,B,medium,22,64,PO-110245,expedited
APT-000126,2026-02-06,2026-02-06 10:15,CAR-021,UnionLine Co,6,D,small,2,35,PO-828156,standard
APT-000127,2026-02-06,2026-02-06 14:00,CAR-028,Beacon Express,2,C,large,28,71,PO-966844,standard
APT-000128,2026-02-06,2026-02-06 07:30,CAR-009,Ironside Shipping,6,B,large,39,91,PO-518505,expedited
APT-000129,2026-02-06,2026-02-06 06:15,CAR-027,Atlas Logistics,9,C,large,34,63,PO-443520,standard
APT-000130,2026-02-06,2026-02-06 19:15,CAR-018,Ridgeline Shipping,1,A,large,30,97,PO-147587,standard
APT-000131,2026-02-06,2026-02-06 09:45,CAR-029,Crest Transport,7,B,medium,23,61,PO-411541,expedited
APT-000132,2026-02-06,2026-02-06 13:30,CAR-006,Freightliner Prime,7,A,medium,24,63,PO-694298,expedited
APT-000133,2026-02-06,2026-02-06 12:00,CAR-018,Ridgeline Shipping,6,B,medium,13,61,PO-464331,standard
APT-000134,2026-02-06,2026-02-06 15:15,CAR-028,Beacon Express,7,A,small,9,34,PO-975854,standard
APT-000135,2026-02-06,2026-02-06 21:15,CAR-025,Yukon Haulers,9,A,medium,14,38,PO-718936,hot
APT-000136,2026-02-06,2026-02-06 11:30,CAR-011,Keystone Transit,3,D,large,41,80,PO-649586,expedited
APT-000137,2026-02-07,2026-02-07 12:15,CAR-018,Ridgeline Shipping,5,B,large,36,82,PO-899005,expedited
APT-000138,2026-02-07,2026-02-07 15:15,CAR-023,Western Freight,10,A,medium,15,46,PO-563209,standard
APT-000139,2026-02-07,2026-02-07 10:45,CAR-010,Juno Carriers,5,B,medium,25,60,PO-515484,standard
APT-000140,2026-02-07,2026-02-07 12:45,CAR-013,Meridian Movers,6,B,medium,20,59,PO-399365,expedited
APT-000141,2026-02-07,2026-02-07 08:30,CAR-003,Coastal Transit Co,6,A,small,7,39,PO-380691,standard
APT-000142,2026-02-07,2026-02-07 09:00,CAR-025,Yukon Haulers,8,C,medium,11,57,PO-560550,standard
APT-000143,2026-02-07,2026-02-07 12:30,CAR-027,Atlas Logistics,6,B,medium,17,58,PO-829209,standard
APT-000144,2026-02-07,2026-02-07 15:45,CAR-012,Lodestar Freight,4,B,small,6,38,PO-855831,hot
APT-000145,2026-02-07,2026-02-07 08:00,CAR-012,Lodestar Freight,8,D,medium,13,61,PO-661739,standard
APT-000146,2026-02-07,2026-02-07 12:30,CAR-010,Juno Carriers,9,A,small,1,31,PO-568883,standard
APT-000147,2026-02-07,2026-02-07 15:00,CAR-023,Western Freight,7,A,large,35,89,PO-753871,expedited
APT-000148,2026-02-07,2026-02-07 14:00,CAR-029,Crest Transport,2,D,large,44,94,PO-868532,standard
APT-000149,2026-02-08,2026-02-08 10:30,CAR-027,Atlas Logistics,3,D,small,6,22,PO-172470,expedited
APT-000150,2026-02-08,2026-02-08 08:15,CAR-006,Freightliner Prime,3,D,large,28,84,PO-987973,standard
APT-000151,2026-02-08,2026-02-08 13:00,CAR-005,Eastern Express,2,B,large,49,68,PO-199315,expedited
APT-000152,2026-02-08,2026-02-08 20:30,CAR-021,UnionLine Co,2,B,small,3,30,PO-142489,standard
APT-000153,2026-02-09,2026-02-09 07:15,CAR-029,Crest Transport,3,A,medium,23,54,PO-484299,standard
APT-000154,2026-02-09,2026-02-09 10:45,CAR-015,Omega Transport,9,C,small,9,32,PO-190039,standard
APT-000155,2026-02-09,2026-02-09 11:45,CAR-016,Pacific Haul,9,C,large,46,92,PO-940359,standard
APT-000156,2026-02-09,2026-02-09 12:30,CAR-026,Zenith Transit,1,A,medium,22,51,PO-893921,expedited
APT-000157,2026-02-09,2026-02-09 11:30,CAR-023,Western Freight,7,D,small,7,30,PO-516608,expedited
APT-000158,2026-02-09,2026-02-09 14:45,CAR-026,Zenith Transit,10,B,large,50,65,PO-113326,standard
APT-000159,2026-02-09,2026-02-09 19:15,CAR-007,Global Supply Inc,3,A,medium,15,39,PO-757845,expedited
APT-000160,2026-02-09,2026-02-09 13:45,CAR-005,Eastern Express,2,A,small,6,38,PO-168935,standard
APT-000161,2026-02-09,2026-02-09 15:00,CAR-028,Beacon Express,4,C,large,35,62,PO-807929,expedited
APT-000162,2026-02-09,2026-02-09 10:15,CAR-019,Summit Logistics,5,B,large,33,77,PO-967487,expedited
APT-000163,2026-02-09,2026-02-09 13:30,CAR-024,Xenith Shipping,4,A,large,47,97,PO-951328,standard
APT-000164,2026-02-09,2026-02-09 12:00,CAR-025,Yukon Haulers,1,A,large,43,85,PO-305207,hot
APT-000165,2026-02-09,2026-02-09 20:45,CAR-013,Meridian Movers,6,C,small,6,27,PO-264938,hot
APT-000166,2026-02-09,2026-02-09 11:30,CAR-022,Vanguard Carriers,9,D,large,46,98,PO-659068,standard
APT-000167,2026-02-09,2026-02-09 06:30,CAR-001,Apex Freight,7,A,medium,12,64,PO-753067,expedited
APT-000168,2026-02-09,2026-02-09 11:30,CAR-019,Summit Logistics,10,B,medium,19,60,PO-296936,standard
APT-000169,2026-02-09,2026-02-09 08:30,CAR-017,Quantum Freight,8,D,medium,22,65,PO-840452,standard
APT-000170,2026-02-09,2026-02-09 14:00,CAR-026,Zenith Transit,5,B,large,42,76,PO-413128,hot
APT-000171,2026-02-09,2026-02-09 13:00,CAR-018,Ridgeline Shipping,9,B,medium,22,59,PO-995363,standard
APT-000172,2026-02-09,2026-02-09 16:30,CAR-013,Meridian Movers,3,C,large,27,88,PO-939410,standard
APT-000173,2026-02-09,2026-02-09 11:15,CAR-023,Western Freight,6,D,large,36,86,PO-900385,expedited
APT-000174,2026-02-09,2026-02-09 11:15,CAR-027,Atlas Logistics,5,D,medium,13,40,PO-810309,standard
APT-000175,2026-02-09,2026-02-09 10:15,CAR-009,Ironside Shipping,2,C,medium,14,63,PO-452267,standard
APT-000176,2026-02-09,2026-02-09 12:15,CAR-006,Freightliner Prime,8,B,large,27,61,PO-167249,standard
APT-000177,2026-02-09,2026-02-09 14:45,CAR-021,UnionLine Co,10,C,large,40,84,PO-364284,hot
APT-000178,2026-02-09,2026-02-09 18:15,CAR-014,Northstar Logistics,3,C,medium,23,49,PO-624584,standard
APT-000179,2026-02-09,2026-02-09 10:15,CAR-021,UnionLine Co,5,B,medium,14,52,PO-691524,standard
APT-000180,2026-02-10,2026-02-10 08:00,CAR-021,UnionLine Co,2,A,medium,23,55,PO-162692,standard
APT-000181,2026-02-10,2026-02-10 08:15,CAR-017,Quantum Freight,3,B,small,2,22,PO-891395,expedited
APT-000182,2026-02-10,2026-02-10 09:15,CAR-007,Global Supply Inc,1,B,large,51,71,PO-529963,standard
APT-000183,2026-02-10,2026-02-10 09:15,CAR-029,Crest Transport,6,B,medium,21,58,PO-914140,standard
APT-000184,2026-02-10,2026-02-10 08:45,CAR-028,Beacon Express,1,B,large,30,88,PO-954809,standard
APT-000185,2026-02-10,2026-02-10 17:00,CAR-023,Western Freight,2,D,medium,16,58,PO-843606,standard
APT-000186,2026-02-10,2026-02-10 11:45,CAR-010,Juno Carriers,1,D,small,8,22,PO-573778,expedited
APT-000187,2026-02-10,2026-02-10 11:45,CAR-030,Drift Logistics,1,D,large,37,80,PO-831716,expedited
APT-000188,2026-02-10,2026-02-10 13:15,CAR-011,Keystone Transit,5,A,large,41,65,PO-371527,standard
APT-000189,2026-02-10,2026-02-10 16:00,CAR-004,Delta Haulers,6,B,large,41,98,PO-714823,standard
APT-000190,2026-02-10,2026-02-10 15:30,CAR-017,Quantum Freight,5,A,medium,19,43,PO-649619,expedited
APT-000191,2026-02-10,2026-02-10 11:30,CAR-015,Omega Transport,6,B,large,34,98,PO-717468,standard
APT-000192,2026-02-10,2026-02-10 08:00,CAR-007,Global Supply Inc,8,B,small,4,40,PO-359778,standard
APT-000193,2026-02-10,2026-02-10 10:00,CAR-005,Eastern Express,5,A,small,3,23,PO-666620,standard
APT-000194,2026-02-10,2026-02-10 17:45,CAR-013,Meridian Movers,5,C,large,30,83,PO-954509,expedited
APT-000195,2026-02-10,2026-02-10 11:30,CAR-004,Delta Haulers,9,B,large,31,94,PO-572408,standard
APT-000196,2026-02-10,2026-02-10 16:30,CAR-015,Omega Transport,1,B,small,6,24,PO-856913,expedited
APT-000197,2026-02-10,2026-02-10 11:15,CAR-009,Ironside Shipping,2,B,large,36,71,PO-921705,standard
APT-000198,2026-02-10,2026-02-10 09:00,CAR-015,Omega Transport,9,B,large,41,71,PO-729073,expedited
APT-000199,2026-02-10,2026-02-10 13:45,CAR-024,Xenith Shipping,4,D,medium,19,57,PO-637930,hot
APT-000200,2026-02-10,2026-02-10 09:30,CAR-020,Titan Transport,7,B,small,7,39,PO-997466,expedited
APT-000201,2026-02-10,2026-02-10 20:30,CAR-007,Global Supply Inc,8,A,large,42,94,PO-846113,standard
APT-000202,2026-02-10,2026-02-10 09:00,CAR-026,Zenith Transit,4,B,small,3,38,PO-569663,expedited
APT-000203,2026-02-11,2026-02-11 10:45,CAR-001,Apex Freight,4,B,medium,20,60,PO-901139,hot
APT-000204,2026-02-11,2026-02-11 09:15,CAR-019,Summit Logistics,8,A,large,51,66,PO-503441,hot
APT-000205,2026-02-11,2026-02-11 18:15,CAR-023,Western Freight,3,A,small,5,29,PO-534258,standard
APT-000206,2026-02-11,2026-02-11 08:15,CAR-014,Northstar Logistics,9,C,medium,14,65,PO-456628,standard
APT-000207,2026-02-11,2026-02-11 10:00,CAR-009,Ironside Shipping,5,D,small,8,25,PO-820788,standard
APT-000208,2026-02-11,2026-02-11 09:00,CAR-021,UnionLine Co,4,B,small,3,34,PO-481055,expedited
APT-000209,2026-02-11,2026-02-11 12:00,CAR-011,Keystone Transit,6,B,small,1,28,PO-457272,expedited
APT-000210,2026-02-11,2026-02-11 17:30,CAR-006,Freightliner Prime,9,A,large,35,97,PO-278490,standard
APT-000211,2026-02-11,2026-02-11 10:15,CAR-026,Zenith Transit,3,C,medium,20,47,PO-385868,expedited
APT-000212,2026-02-11,2026-02-11 10:45,CAR-016,Pacific Haul,5,C,medium,14,51,PO-409777,expedited
APT-000213,2026-02-11,2026-02-11 15:45,CAR-024,Xenith Shipping,10,A,large,46,85,PO-601171,standard
APT-000214,2026-02-11,2026-02-11 12:45,CAR-014,Northstar Logistics,1,C,medium,18,65,PO-740728,standard
APT-000215,2026-02-11,2026-02-11 08:45,CAR-016,Pacific Haul,9,D,medium,13,44,PO-320524,expedited
APT-000216,2026-02-11,2026-02-11 12:30,CAR-030,Drift Logistics,5,A,medium,19,40,PO-566337,expedited
APT-000217,2026-02-11,2026-02-11 21:15,CAR-026,Zenith Transit,10,B,small,1,22,PO-805706,standard
APT-000218,2026-02-11,2026-02-11 10:30,CAR-009,Ironside Shipping,7,C,medium,25,62,PO-739222,standard
APT-000219,2026-02-11,2026-02-11 13:15,CAR-022,Vanguard Carriers,1,B,medium,26,55,PO-709878,expedited
APT-000220,2026-02-11,2026-02-11 09:00,CAR-024,Xenith Shipping,6,A,large,27,97,PO-864395,standard
APT-000221,2026-02-11,2026-02-11 09:30,CAR-010,Juno Carriers,5,A,medium,16,50,PO-688000,standard
APT-000222,2026-02-11,2026-02-11 08:45,CAR-023,Western Freight,8,A,large,48,67,PO-660619,standard
APT-000223,2026-02-11,2026-02-11 13:15,CAR-017,Quantum Freight,1,B,large,43,85,PO-124672,standard
APT-000224,2026-02-11,2026-02-11 15:00,CAR-027,Atlas Logistics,6,B,medium,20,64,PO-442029,standard
APT-000225,2026-02-11,2026-02-11 12:45,CAR-005,Eastern Express,2,C,small,5,21,PO-381959,standard
APT-000226,2026-02-11,2026-02-11 10:15,CAR-020,Titan Transport,8,B,small,2,25,PO-486655,standard
APT-000227,2026-02-11,2026-02-11 15:00,CAR-011,Keystone Transit,6,A,medium,24,59,PO-367524,standard
APT-000228,2026-02-11,2026-02-11 15:00,CAR-008,Horizon Logistics,5,A,medium,13,65,PO-291887,hot
APT-000229,2026-02-12,2026-02-12 10:00,CAR-016,Pacific Haul,1,B,small,9,40,PO-398293,standard
APT-000230,2026-02-12,2026-02-12 21:45,CAR-028,Beacon Express,1,A,medium,22,57,PO-639788,standard
APT-000231,2026-02-12,2026-02-12 08:00,CAR-009,Ironside Shipping,4,D,medium,19,49,PO-732249,standard
APT-000232,2026-02-12,2026-02-12 16:15,CAR-013,Meridian Movers,5,A,small,7,32,PO-738766,hot
APT-000233,2026-02-12,2026-02-12 16:30,CAR-027,Atlas Logistics,9,D,medium,16,58,PO-347603,expedited
APT-000234,2026-02-12,2026-02-12 08:00,CAR-004,Delta Haulers,2,D,medium,12,49,PO-731216,standard
APT-000235,2026-02-12,2026-02-12 16:30,CAR-022,Vanguard Carriers,10,D,medium,15,38,PO-852371,hot
APT-000236,2026-02-12,2026-02-12 20:00,CAR-030,Drift Logistics,6,B,small,2,34,PO-795040,standard
APT-000237,2026-02-12,2026-02-12 08:00,CAR-030,Drift Logistics,9,B,large,33,84,PO-790304,standard
APT-000238,2026-02-12,2026-02-12 13:15,CAR-005,Eastern Express,4,D,large,37,95,PO-858778,expedited
APT-000239,2026-02-12,2026-02-12 15:15,CAR-018,Ridgeline Shipping,2,A,small,1,35,PO-377691,standard
